"YahooSymbol","PriceDate","Close"
"AAR-UN.TO","02-01-15",4.42
"AAR-UN.TO","05-01-15",4.46
"AAR-UN.TO","06-01-15",4.48
"AAR-UN.TO","07-01-15",4.55
"AAR-UN.TO","08-01-15",4.58
"AAR-UN.TO","09-01-15",4.59
"AAR-UN.TO","12-01-15",4.56
"AAR-UN.TO","13-01-15",4.57
"AAR-UN.TO","14-01-15",4.59
"AAR-UN.TO","15-01-15",4.58
"AAR-UN.TO","16-01-15",4.63
"AAR-UN.TO","19-01-15",4.67
"AAR-UN.TO","20-01-15",4.65
"AAR-UN.TO","21-01-15",4.69
"AAR-UN.TO","22-01-15",4.84
"AAR-UN.TO","23-01-15",4.82
"AAR-UN.TO","26-01-15",4.88
"AAR-UN.TO","27-01-15",4.87
"AAR-UN.TO","28-01-15",4.86
"AAR-UN.TO","29-01-15",4.87
"AAR-UN.TO","30-01-15",4.84
"AAR-UN.TO","02-02-15",4.85
"AAR-UN.TO","03-02-15",4.88
"AAR-UN.TO","04-02-15",4.9
"AAR-UN.TO","05-02-15",4.98
"AAR-UN.TO","06-02-15",4.94
"AAR-UN.TO","09-02-15",4.93
"AAR-UN.TO","10-02-15",4.98
"AAR-UN.TO","11-02-15",4.96
"AAR-UN.TO","12-02-15",4.98
"AAR-UN.TO","13-02-15",4.97
"AAR-UN.TO","17-02-15",4.96
"AAR-UN.TO","18-02-15",5.02
"AAR-UN.TO","19-02-15",5.02
"AAR-UN.TO","20-02-15",5.02
"AAR-UN.TO","23-02-15",5.03
"AAR-UN.TO","24-02-15",5.05
"AAR-UN.TO","25-02-15",5.05
"AAR-UN.TO","26-02-15",5.04
"AAR-UN.TO","27-02-15",5.07
"AAR-UN.TO","02-03-15",5.13
"AAR-UN.TO","03-03-15",5.11
"AAR-UN.TO","04-03-15",5.06
"AAR-UN.TO","05-03-15",5.06
"AAR-UN.TO","06-03-15",4.84
"AAR-UN.TO","09-03-15",4.79
"AAR-UN.TO","10-03-15",4.7
"AAR-UN.TO","11-03-15",4.8
"AAR-UN.TO","12-03-15",4.81
"AAR-UN.TO","13-03-15",4.87
"AAR-UN.TO","16-03-15",4.95
"AAR-UN.TO","17-03-15",4.99
"AAR-UN.TO","18-03-15",5.03
"AAR-UN.TO","19-03-15",4.99
"AAR-UN.TO","20-03-15",5.01
"AAR-UN.TO","23-03-15",5.03
"AAR-UN.TO","24-03-15",5.05
"AAR-UN.TO","25-03-15",5.1
"AAR-UN.TO","26-03-15",5.09
"AAR-UN.TO","27-03-15",4.99
"AAR-UN.TO","30-03-15",5.03
"AAR-UN.TO","31-03-15",5.05
"AAR-UN.TO","01-04-15",5.09
"AAR-UN.TO","02-04-15",5.1
"AAR-UN.TO","06-04-15",5.15
"AAR-UN.TO","07-04-15",5.16
"AAR-UN.TO","08-04-15",5.19
"AAR-UN.TO","09-04-15",5.22
"AAR-UN.TO","10-04-15",5.22
"AAR-UN.TO","13-04-15",5.21
"AAR-UN.TO","14-04-15",5.16
"AAR-UN.TO","15-04-15",5.14
"AAR-UN.TO","16-04-15",5.18
"AAR-UN.TO","17-04-15",5.18
"AAR-UN.TO","20-04-15",5.17
"AAR-UN.TO","21-04-15",5.06
"AAR-UN.TO","22-04-15",5.03
"AAR-UN.TO","23-04-15",5.03
"AAR-UN.TO","24-04-15",5.04
"AAR-UN.TO","27-04-15",5.11
"AAR-UN.TO","28-04-15",5.18
"AAR-UN.TO","29-04-15",5.15
"AAR-UN.TO","30-04-15",5.08
"AAR-UN.TO","01-05-15",5.1
"AAR-UN.TO","04-05-15",5.04
"AAR-UN.TO","05-05-15",4.88
"AAR-UN.TO","06-05-15",4.8
"AAR-UN.TO","07-05-15",4.86
"AAR-UN.TO","08-05-15",4.86
"AAR-UN.TO","11-05-15",4.82
"AAR-UN.TO","12-05-15",4.82
"AAR-UN.TO","13-05-15",4.84
"AAR-UN.TO","14-05-15",4.88
"AAR-UN.TO","15-05-15",4.91
"AAR-UN.TO","18-05-15",4.91
"AAR-UN.TO","19-05-15",4.97
"AAR-UN.TO","20-05-15",4.93
"AAR-UN.TO","21-05-15",4.9
"AAR-UN.TO","22-05-15",4.86
"AAR-UN.TO","25-05-15",4.89
"AAR-UN.TO","26-05-15",4.81
"AAR-UN.TO","27-05-15",4.78
"AAR-UN.TO","28-05-15",4.78
"AAR-UN.TO","29-05-15",4.78
"AAR-UN.TO","01-06-15",4.78
"AAR-UN.TO","02-06-15",4.77
"AAR-UN.TO","03-06-15",4.72
"AAR-UN.TO","04-06-15",4.76
"AAR-UN.TO","05-06-15",4.74
